name,size,about
UGBA W125,1,Terms offered: Prior to 2007...
UGBA 127,1,"Terms offered: Spring 2020, Spring 2019, Fall 2018..."
UGBA 129,1,Terms offered: Spring 2014...
UGBA 134,1,Terms offered: Spring 2019...
UGBA 135,1,"Terms offered: Spring 2020, Fall 2019..."
UGBA 143,1,"Terms offered: Fall 2014, Fall 2013, Spring 2010..."
UGBA 146,1,"Terms offered: Summer 2020 First 6 Week Session, Fall 2005, Spring 2005..."
UGBA 147,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Summer 2019 First..."
UGBA 154,1,"Terms offered: Summer 2020 Second 6 Week Session, Fall 2019, Summer 2019 Second..."
UGBA 155,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Fall 2019..."
UGBA W155,1,Terms offered: Not yet offered...
UGBA 162A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
UGBA 168B,1,"Terms offered: Spring 2015, Spring 2014..."
UGBA 169,1,"Terms offered: Summer 2020 Second 6 Week Session, Fall 2019, Summer 2019 Second..."
UGBA 170,1,"Terms offered: Spring 2017, Spring 2016, Spring 2015..."
UGBA C172,1,"Terms offered: Spring 2019, Spring 2017, Spring 2016..."
UGBA 175,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
UGBA 176,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
UGBA 178,1,"Terms offered: Summer 2020 Second 6 Week Session, Spring 2020, Fall 2019..."
UGBA 179,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
UGBA 184,1,"Terms offered: Spring 2016, Spring 2015, Spring 2014..."
UGBA 187,1,"Terms offered: Fall 2010, Fall 2009..."
UGBA 190C,1,Terms offered: Spring 2020...
UGBA 190D,1,Terms offered: Fall 2019...
UGBA 190S,1,Terms offered: Not yet offered...
UGBA 190T,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Fall 2019..."
UGBA 190V,1,Terms offered: Prior to 2007...
UGBA 191C,1,"Terms offered: Fall 2016, Summer 2016 10 Week Session, Summer 2016 Second 6 Wee..."
UGBA 191I,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
UGBA 191L,1,"Terms offered: Spring 2020, Fall 2019..."
UGBA 191P,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
UGBA 192AC,1,"Terms offered: Spring 2020, Spring 2019, Fall 2017..."
UGBA 192B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
UGBA 192E,1,Terms offered: Fall 2019...
UGBA 192G,1,Terms offered: Prior to 2007...
UGBA 192L,1,Terms offered: Prior to 2007...
UGBA 192N,1,"Terms offered: Fall 2019, Spring 2019, Fall 2018..."
UGBA 192P,1,"Terms offered: Fall 2018, Fall 2016, Fall 2014..."
UGBA 192S,1,Terms offered: Summer 2020 First 6 Week Session...
UGBA 192T,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
UGBA 193B,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
UGBA 193C,1,"Terms offered: Summer 2014 10 Week Session, Summer 2013 10 Week Session, Summer..."
UGBA 193I,1,"Terms offered: Summer 2020 8 Week Session, Summer 2019 8 Week Session, Summer 2..."
UGBA 194,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
UGBA 195A,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
UGBA 195P,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
UGBA 195S,1,"Terms offered: Spring 2013, Spring 2012, Spring 2011..."
UGBA 195T,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
UGBA 196,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
UGBA 198,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
UGBA 199,1,"Terms offered: Spring 2015, Spring 2014, Fall 2013..."
MEC ENG 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
MEC ENG 40,1,This course introduces the scientific principles that deal with energy conversi...
MEC ENG C85,1,A review of equilibrium for particles and rigid bodies. Application to truss st...
MEC ENG W85,1,A review of equilibrium for particles and rigid bodies. Application to truss st...
MEC ENG 98,1,Organized group study on various topics under the sponsorship and direction of ...
MEC ENG 100,1,Electronics and Electrical Engineering has become pervasive in our lives as a p...
MEC ENG 101,1,Fundamentals of lean manufacturing systems including manufacturing fundamentals...
MEC ENG 102B,1,Introduction to design and realization of mechatronics systems. Micro computer ...
MEC ENG 103,1,This course introduces students to modern experimental techniques for mechanica...
MEC ENG 104,1,This course is an introduction to the dynamics of particles and rigid bodies. T...
MEC ENG 106,1,This course introduces the fundamentals and techniques of fluid mechanics with ...
MEC ENG 108,1,This course covers elastic and plastic deformation under static and dynamic loa...
MEC ENG 109,1,"This course covers transport processes of mass, momentum, and energy from a mac..."
MEC ENG 110,1,The course provides project-based learning experience in innovative new product...
MEC ENG C115,1,This course applies methods of statistical continuum mechanics to subcellar bio...
MEC ENG C117,1,This course covers the structure and mechanical functions of load bearing tissu...
MEC ENG 118,1,This course introduces engineering students (juniors and seniors) to the field ...
MEC ENG 119,1,"Fundamentals of microelectromechanical systems including design, fabrication of..."
MEC ENG 120,1,This course applies the methods of computational modeling and continuum mechani...
MEC ENG 122,1,"Fundamentals of manufacturing processes (metal forming, forging, metal cutting,..."
MEC ENG 125,1,iACME provide opportunities for Mechanical Engineering undergraduates to tackle...
MEC ENG 130,1,"Synthesis, analysis, and design of planar machines. Kinematic structure, graphi..."
MEC ENG 131,1,"Physical understanding of automotive vehicle dynamics including simple lateral,..."
MEC ENG 132,1,Physical understanding of dynamics and feedback. Linear feedback control of dyn...
MEC ENG 133,1,An introduction to the theory of mechanical vibrations including topics of harm...
MEC ENG C134,1,Analysis and synthesis of linear feedback control systems in transform and time...
MEC ENG 135,1,This course provides preparation for the conceptual design and prototyping of m...
MEC ENG 136,1,This course introduces students to the control of unmanned aerial vehicles (UAV...
MEC ENG 138,1,This hands-on laboratory course focuses on the mechanical engineering principle...
MEC ENG 140,1,"Fundamentals of combustion, flame structure, flame speed, flammability, ignitio..."
MEC ENG 146,1,"This course covers the fundamental principles of energy conversion processes, f..."
MEC ENG 150A,1,"This course addresses all aspects of design, analysis, construction and economi..."
MEC ENG 151,1,Basic principles of heat transfer and their application. Subject areas include ...
MEC ENG 151A,1,Fundamentals of conductive heat transfer. Analytical and numerical methods for ...
MEC ENG 151B,1,The transport of heat and mass in fluids in motion; free and forced convection ...
MEC ENG 153,1,"Fundamentals of electromagnetic theory, principles of optics, waves, diffractio..."
MEC ENG 154,1,Development of classical thermodynamics from statistical treatment of microscal...
MEC ENG 160,1,"Lectures on new developments in ocean, offshore, and arctic engineering...."
MEC ENG 163,1,"Introduction to the lift, drag, and moment of two-dimensional airfoils, three-d..."
MEC ENG 164,1,"Terminology and definition of hull forms, conditions of static equilibrium and ..."
MEC ENG 165,1,Ocean environment. Physical properties and characteristics of the oceans. Globa...
MEC ENG 167,1,"Phenomena of physical, technological, and biological significance in flows of g..."
MEC ENG 168,1,This course covers major aspects of offshore engineering including ocean enviro...
MEC ENG 170,1,"This course builds upon material learned in 104, examining the dynamics of part..."
