name,size,about
CELTIC 16,1,Introduction to modern Welsh conversation and grammar. Emphasis in the first-se...
CELTIC 86,1,"Continuation of Celtic Studies 16, emphasizing progress in conversation, gramma..."
CELTIC 144A,1,This course continues the Celtic Studies 16-86 sequence. Advanced grammatical c...
CELTIC 144B,1,This course continues the Celtic Studies 16-86-144A sequence. Emphasis is on ma...
CELTIC 16,1,Introduction to modern Welsh conversation and grammar. Emphasis in the first-se...
CELTIC 86,1,"Continuation of Celtic Studies 16, emphasizing progress in conversation, gramma..."
CELTIC 144A,1,This course continues the Celtic Studies 16-86 sequence. Advanced grammatical c...
CELTIC 144B,1,This course continues the Celtic Studies 16-86-144A sequence. Emphasis is on ma...
CELTIC 16,1,Introduction to modern Welsh conversation and grammar. Emphasis in the first-se...
CELTIC 86,1,"Continuation of Celtic Studies 16, emphasizing progress in conversation, gramma..."
CELTIC 144A,1,This course continues the Celtic Studies 16-86 sequence. Advanced grammatical c...
CELTIC 144B,1,This course continues the Celtic Studies 16-86-144A sequence. Emphasis is on ma...
CELTIC 16,1,Introduction to modern Welsh conversation and grammar. Emphasis in the first-se...
CELTIC 86,1,"Continuation of Celtic Studies 16, emphasizing progress in conversation, gramma..."
CELTIC 144A,1,This course continues the Celtic Studies 16-86 sequence. Advanced grammatical c...
CELTIC 144B,1,This course continues the Celtic Studies 16-86-144A sequence. Emphasis is on ma...
CELTIC 16,1,Introduction to modern Welsh conversation and grammar. Emphasis in the first-se...
CELTIC 86,1,"Continuation of Celtic Studies 16, emphasizing progress in conversation, gramma..."
CELTIC 144A,1,This course continues the Celtic Studies 16-86 sequence. Advanced grammatical c...
CELTIC 144B,1,This course continues the Celtic Studies 16-86-144A sequence. Emphasis is on ma...
CELTIC 16,1,Introduction to modern Welsh conversation and grammar. Emphasis in the first-se...
CELTIC 86,1,"Continuation of Celtic Studies 16, emphasizing progress in conversation, gramma..."
CELTIC 144A,1,This course continues the Celtic Studies 16-86 sequence. Advanced grammatical c...
CELTIC 144B,1,This course continues the Celtic Studies 16-86-144A sequence. Emphasis is on ma...
