name,size,about
MCELLBI 239C,1,The mechanisms that link cellular differentiation programs and dynamic gene reg...
MCELLBI 239EE,1,Review of current literature and discussion of original research....
MCELLBI 239F,1,Review of current literature and discussion of original research....
MCELLBI 239FF,1,Review of current literature and discussion of original research....
MCELLBI 239G,1,Review of relevant literature and discussion of current research: Mitochondrial...
MCELLBI 239HH,1,Identifying pathways that restrict growth and cell proliferation in vivo....
MCELLBI 239I,1,Review of current literature and discussion of original research....
MCELLBI 239J,1,Review of current literature and discussion of original research....
MCELLBI 239K,1,Cell surface growth with emphasis on the unicellular eukaryote S. cerevisiae....
MCELLBI 239KK,1,Review of current literature and discussion of original research....
MCELLBI 239M,1,Malignant transformation represents the endpoint of successive genetic lesions ...
MCELLBI 239O,1,"Inheritance, chromatin structure, gene expression, and the organization of chro..."
MCELLBI 239P,1,Review of current literature and discussion of current research. Current resear...
MCELLBI 239Q,1,Mechanisms underlying the establishment and maintenance of cellular organizatio...
MCELLBI 239R,1,The goal of our laboratory is to understand the key functions of telomeres and ...
MCELLBI 239T,1,Research in our lab is focused on the cell biology of mammalian fertilization. ...
MCELLBI 239U,1,Review of current literature and discussion of current research....
MCELLBI 239V,1,Review of current literature and discussion of current research. Current resear...
MCELLBI 239W,1,Review of current literature and discussion of original research....
MCELLBI 239Z,1,"How chromosomes are reorganized during melosis to accomplish the pairing, recom..."
MCELLBI C243,1,A graduate seminar class in which a group of students will closely examine rece...
MCELLBI C244,1,"Introduction to algebraic statistics and probability, optimization, phylogeneti..."
MCELLBI 249BB,1,Central to the aging process is the unfolding of the proteome. Specific areas u...
MCELLBI 249C,1,Biochemical and molecular genetic aspects of eukaryotic messenger RNA splicing ...
MCELLBI 249D,1,"Genes, gene products and molecular mechanisms that control cell types in the un..."
MCELLBI 249E,1,Gene regulation and developmental neurobiology....
MCELLBI 249F,1,"Molecular and genetic approaches to the problem of how neurons develop, with em..."
MCELLBI 249G,1,We study how genes control pattern formation during development and pattern mod...
MCELLBI 249H,1,This course focuses on understanding 1) how cellular aging is affected during g...
MCELLBI 249HH,1,Research focuses on use of statistical and computational approaches to study qu...
MCELLBI 249J,1,Molecular and genetical analysis of sex determination and dosage compensation i...
MCELLBI 249K,1,"Evaluation of current research on choanoflagellates, sponges, and animal origin..."
MCELLBI 249L,1,"Research review in genetics, genomics and development. We will explore how the ..."
MCELLBI 249M,1,Review of current literature and discussion of current research....
MCELLBI 249MM,1,"Research review in genetics, genomics and development. In development a single ..."
MCELLBI 249N,1,Current literature and research in gene regulation will be covered in research ...
MCELLBI 249O,1,"Biochemistry, cancer biology and virology, cell biology, computational biology,..."
MCELLBI 249Q,1,Recent developments in computational methods for genomics and their application...
MCELLBI 249S,1,Evolution of development mechanisms with a focus on the genes that regulate seg...
MCELLBI 249T,1,Comparative analysis of eukaryotic genomes to inform the origins and diversific...
MCELLBI 249V,1,"The Roelink laboratory is interested in the mechanisms of embryonic induction, ..."
MCELLBI 249W,1,Discussions pertaining to the development of new genetic tools for archaeal mod...
MCELLBI 249X,1,The fundamental problem of comparative genomics: the determination of the origi...
MCELLBI 249Y,1,"This course will focus on mechanisms of gene control in vertebrate animals, par..."
MCELLBI 249Z,1,"Use of genetic, cell biological, and biochemical approaches in budding yeast to..."
MCELLBI 259A,1,"The TB field has entered a new era with the convergence of genetic tools, genom..."
MCELLBI 259B,1,Mechanisms of immune surveillance by T lymphocytes....
MCELLBI 259C,1,In this course we will discuss our research as well as recent literatures focus...
MCELLBI 259D,1,We will discuss macrophage biology and innate immunity in the context of infect...
MCELLBI 259E,1,Molecular biology of T cell receptor genes and their transcription controlling ...
MCELLBI 259F,1,Molecular and biological basis for recognition by natural killer cells and T ce...
MCELLBI 259G,1,Molecular and cellular aspects of thymocyte differentiation....
MCELLBI 259H,1,Molecular basis of terminal B cell differentiation. Role of transcription facto...
MCELLBI 259J,1,The mechanisms used by viruses to counteract the pressure of the immune system....
MCELLBI 259K,1,"Intersecting the fields of cancer biology, immunology, and epigenetics to stren..."
MCELLBI 259M,1,Innate immunity and innate control of adaptive immunity....
MCELLBI 259N,1,Role of innate host responses in defense against intracellular bacterial pathog...
MCELLBI C261,1,This course covers the molecular/cellular basis of neuron excitability (membran...
MCELLBI C262,1,"Advanced coverage of current research problems in systems-level neuroscience, a..."
MCELLBI 269A,1,"Molecular and cellular studies of nerve growth, axon guidance, synaptic formati..."
MCELLBI 269B,1,Review of current literature and discussion of original research....
MCELLBI 269C,1,Research in our laboratory focuses on understanding how neurons use biochemical...
MCELLBI 269D,1,Review of recent research in molecular mechanisms involved in intracellular and...
MCELLBI 269E,1,Review of research in molecular and biophysical aspects of sensory transduction...
MCELLBI 269F,1,Research review in neurobiology. Review of recent optogenetic strategies for di...
MCELLBI 269G,1,"Development and application of optical imaging methods for clearer, deeper, and..."
MCELLBI 269I,1,"The basic investigation of neural differentiation of stem cells, as well as the..."
MCELLBI 269J,1,The molecular and cellular basis of taste perception in the model organism ....
MCELLBI 269M,1,Drosophila mutants that have behavioral abnormalities to unravel new and basic ...
MCELLBI 269O,1,Microcircuitry of the cerebral cortex that underlies sensory processing and ada...
MCELLBI 269Q,1,How the cerebral cortex processes sensory input and stores information about th...
MCELLBI 269R,1,Review of current literature and discussion of original research....
MCELLBI 269S,1,Review of current literature and discussion of original research....
MCELLBI 269T,1,Review of current literature and discussion of original research....
MCELLBI 269U,1,Evaluation of current research in molecular mechanisms underlying diseases of t...
MCELLBI 269W,1,How neural activity affects the assembly of neural circuits....
