name,size,about
DUTCH 1,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
DUTCH 2,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
DUTCH 110,1,"Terms offered: Fall 2019, Fall 2018, Fall 2016..."
DUTCH 125,1,"Terms offered: Spring 2019, Spring 2017, Spring 2016..."
DUTCH 140,1,"Terms offered: Spring 2012, Spring 2011, Spring 1998..."
DUTCH 1,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
DUTCH 2,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
DUTCH 110,1,"Terms offered: Fall 2019, Fall 2018, Fall 2016..."
DUTCH 125,1,"Terms offered: Spring 2019, Spring 2017, Spring 2016..."
DUTCH 140,1,"Terms offered: Spring 2012, Spring 2011, Spring 1998..."
DUTCH 1,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
DUTCH 2,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
DUTCH 110,1,"Terms offered: Fall 2019, Fall 2018, Fall 2016..."
DUTCH 125,1,"Terms offered: Spring 2019, Spring 2017, Spring 2016..."
DUTCH 140,1,"Terms offered: Spring 2012, Spring 2011, Spring 1998..."
DUTCH 1,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
DUTCH 2,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
DUTCH 110,1,"Terms offered: Fall 2019, Fall 2018, Fall 2016..."
DUTCH 125,1,"Terms offered: Spring 2019, Spring 2017, Spring 2016..."
DUTCH 140,1,"Terms offered: Spring 2012, Spring 2011, Spring 1998..."
DUTCH 1,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
DUTCH 2,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
DUTCH 110,1,"Terms offered: Fall 2019, Fall 2018, Fall 2016..."
DUTCH 125,1,"Terms offered: Spring 2019, Spring 2017, Spring 2016..."
DUTCH 140,1,"Terms offered: Spring 2012, Spring 2011, Spring 1998..."
