name,size,about
ECON C3,1,"Introduction to microeconomics with emphasis on resource, agricultural, and env..."
ECON 24,1,The Freshman Seminar Program has been designed to provide new students with the...
ECON 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
ECON 98,1,Written proposal must be approved by Department Chair. Seminars for the group s...
ECON C103,1,Selected topics illustrating the application of mathematics to economic theory....
ECON 105,1,A survey of the theories of major economists from Adam Smith to Keynes....
ECON C110,1,"A non-technical introduction to game theory. Basic principle, and models of int..."
ECON N110,1,"A non-technical introduction to game theory. Basic principle, and models of int..."
ECON 139,1,This is a 4-unit advanced undergraduate course designed for undergraduates in E...
ECON 144,1,"Since much of financial econometrics is based on time-series data, we will spen..."
ECON N152,1,This course focuses on theoretical and empirical analysis of wage and employmen...
ECON 162,1,"The Chinese economy, its institutions, reform and transition to the market, and..."
ECON C181,1,The theory of international trade and its applications to tariff protection. Th...
ECON N181,1,The theory of international trade and its applications to tariff protection....
ECON H195A,1,"Preparation for writing a thesis, finding and organizing a topic, gathering dat..."
ECON H195AS,1,Preparation and writing of an honors thesis under the supervision of a member o...
ECON H195B,1,Writing a thesis under the supervision of a faculty member. Applications and de...
ECON H195BS,1,Preparation and writing of an honors thesis under the supervision of a member o...
ECON 196,1,Study in various fields of economics. Topics will vary from semester to semeste...
ECON 197,1,Written proposal must be approved by Department Chair. Supervised field studies...
ECON 198,1,Written proposal must be approved by Department Chair. Seminars for the group s...
ECON 199,1,Written proposal must be approved by Department Chair. Enrollment is restricted...
ECON C3,1,"Introduction to microeconomics with emphasis on resource, agricultural, and env..."
ECON 24,1,The Freshman Seminar Program has been designed to provide new students with the...
ECON 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
ECON 98,1,Written proposal must be approved by Department Chair. Seminars for the group s...
ECON C103,1,Selected topics illustrating the application of mathematics to economic theory....
ECON 105,1,A survey of the theories of major economists from Adam Smith to Keynes....
ECON C110,1,"A non-technical introduction to game theory. Basic principle, and models of int..."
ECON N110,1,"A non-technical introduction to game theory. Basic principle, and models of int..."
